Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal,
602,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1111/ane.12697,27229477,2.559,Service,max.kaller@scilifelab.se,0001-6314,Primary familial brain calcification linked to deletion of 5’ noncoding region o...,"Pasanen P, Mäkinen J, ..., Baumann P",ACTA NEUROL SCAND,27726124
603,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1111/bjh.14056,27313296,5.812,Service,max.kaller@scilifelab.se,0007-1048,The genetic landscape of paediatricde novoacute myeloid leukaemia as defined by ...,"Olsson L, Zettermark S, ..., Johansson B",BRIT J HAEMATOL,27022003
604,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1111/gfs.12238,26961371,1.617,Collaborative,max.kaller@scilifelab.se,0142-5242,Separating the effects of forage source and field microbiota on silage fermentat...,"Mogodiniyai Kasmaei K, Dicksved J, ..., Udén P",GRASS FORAGE SCI,
605,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1111/mec.13537,27165105,5.947,Service,max.kaller@scilifelab.se,0962-1083,The influence of population structure on gene expression and flowering time vari...,"Kryvokhyzha D, Holm K, ..., Lascoux M",MOL ECOL,26797895
606,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1111/nph.13930,27242679,7.21,Service,max.kaller@scilifelab.se,0028-646X,Whole genome duplication in coast redwood (Sequoia sempervirens) and its implica...,"Scott AD, Stenz NWM, ..., Baum DA",NEW PHYTOL,
607,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1126/science.aad6970,27768780,34.661,Service,max.kaller@scilifelab.se,0036-8075 1095-9203,Cardiometabolic risk loci share downstream cis- and trans-gene regulation across...,"Franzen O, Ermel R, ..., Bjorkegren JLM",SCIENCE,27540175
608,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1126/science.aaf2403,27131363,34.661,Collaborative,max.kaller@scilifelab.se,0036-8075 1095-9203,Visualization and analysis of gene expression in tissue sections by spatial tran...,"Stahl PL, Salmen F, ..., Frisen J",SCIENCE,27365449
609,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1126/science.aaf6463,27307591,34.661,Service,max.kaller@scilifelab.se,0036-8075 1095-9203,Oligodendrocyte heterogeneity in the mouse juvenile and adult central nervous system,"Marques S, Zeisel A, ..., Castelo-Branco G",SCIENCE,27284195
610,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1128/genomeA.00175-16,26721855,1.18,Service,max.kaller@scilifelab.se,2169-8287,Draft Genome Sequence of Streptococcus gordonii Type Strain CCUG 33482 T,"Salvà-Serra F, Jakobsson HE, ..., Moore ERB",,
611,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1128/genomeA.00552-16,26996245,1.18,Service,max.kaller@scilifelab.se,2169-8287,Draft Genome Sequence of Moraxella catarrhalis Type Strain CCUG 353 T,"Jakobsson HE, Salvà-Serra F, ..., Moore ERB",,
612,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1158/1078-0432.CCR-15-0964,26467464,8.738,Service,max.kaller@scilifelab.se,1078-0432 1557-3265,Using Whole-Exome Sequencing to Identify Genetic Markers for Carboplatin and Gem...,"Green H, Hasmats J, ..., Lundeberg J",CLIN CANCER RES,26378035
613,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1159/000446368,27699219,4.273,Service,max.kaller@scilifelab.se,1662-811X 1662-8128,The POU/Oct Transcription Factor Pdm1/nub Is Necessary for a Beneficial Gut Micr...,"Dantoft W, Lundin D, ..., Engström Y",J INNATE IMMUN,27231014
614,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1172/jci.insight.86837,27633116,Kan inte hitta,Service,max.kaller@scilifelab.se,2379-3708,Profiling cancer testis antigens in non–small-cell lung cancer,"Djureinovic D, Hallström BM, ..., Micke P",,
615,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1183/13993003.01209-2015,27838757,8.332,Collaborative,max.kaller@scilifelab.se,0903-1936 1399-3003,T-cell receptor–HLA-DRB1 associations suggest specific antigens in pulmonary sar...,"Grunewald J, Kaiser Y, ..., Eklund A",EUR RESPIR J,26585430
616,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1186/s11689-016-9136-y,26378035,2.787,Service,max.kaller@scilifelab.se,1866-1947 1866-1955,Genomic sequencing of a dyslexia susceptibility haplotype encompassing ROBO1,"Massinen S, Wang J, ..., Kere J",J NEURODEV DISORD,26877820
617,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1186/s12859-016-0910-3,27458440,2.435,Service,max.kaller@scilifelab.se,1471-2105,"Fast, accurate, and lightweight analysis of BS-treated reads with ERNE 2","Prezza N, Vezzi F, ..., Policriti A",BMC BIOINFORMATICS,26961371
618,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1186/s12862-016-0627-y,27783177,3.406,Service,max.kaller@scilifelab.se,1471-2148,"Evolutionary history of host use, rather than plant phylogeny, determines gene e...","Celorio-Mancera MdlP, Wheat CW, ..., Janz N",BMC EVOL BIOL,
619,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1186/s12864-016-2890-0,27187611,3.867,Service,max.kaller@scilifelab.se,1471-2164,"The genome-scale DNA-binding profile of BarR, a β-alanine responsive transcripti...","Liu H, Wang K, ..., Peeters E",BMC GENOMICS,27502941
620,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1186/s13058-016-0710-8,26484735,5.211,Service,max.kaller@scilifelab.se,1465-542X,Determining breast cancer histological grade from RNA-sequencing data,"Wang M, Klevebring D, ..., Rantalainen M",BREAST CANCER RES,27165105
621,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1186/s40064-016-3543-0,27717408,0.982,Service,max.kaller@scilifelab.se,2193-1801,"Identification of mutations, gene expression changes and fusion transcripts by w...","Ma Y, Miao Y, ..., Li C",SPRINGERPLUS,
622,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1186/s40168-016-0199-5,27006164,9,Service,max.kaller@scilifelab.se,2049-2618,"The structure and diversity of human, animal and environmental resistomes","Pal C, Bengtsson-Palme J, ..., Larsson DGJ",MICROBIOME,27717408
623,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1371/journal.pgen.1006037,26877820,6.661,Service,max.kaller@scilifelab.se,1553-7404,Molecular Characterization of Three Canine Models of Human Rare Bone Diseases: C...,"Hytönen MK, Arumilli M, ..., Lohi H",PLOS GENET,27187611
624,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1371/journal.pgen.1006294,27384325,6.661,Service,max.kaller@scilifelab.se,1553-7404,"The Impact of Endurance Training on Human Skeletal Muscle Memory, Global Isoform...","Lindholm ME, Giacomello S, ..., Sundberg CJ",PLOS GENET,27657503
625,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1371/journal.pone.0155757,27521279,3.057,Service,max.kaller@scilifelab.se,1932-6203,Metagenomic Analysis of the Indian Ocean Picocyanobacterial Community: Structure...,"Díez B, Nylander JAA, ..., Bergman B",PLOS ONE,27196065
626,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1371/journal.pone.0164548,27540175,3.057,Service,max.kaller@scilifelab.se,1932-6203,The Transcriptome of Rhabdomyosarcoma Cells Infected with Cytolytic and Non-Cyto...,"Sävneby A, Luthman J, ..., Lindberg AM",PLOS ONE,27760161
627,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1371/journal.pone.0165268,27284195,3.057,Service,max.kaller@scilifelab.se,1932-6203,Over Expression of NANOS3 and DAZL in Human Embryonic Stem Cells,"Panula S, Reda A, ..., Hovatta O",PLOS ONE,27768780
628,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1534/genetics.115.183152,27552439,4.644,Service,max.kaller@scilifelab.se,0016-6731,Natural Selection and Recombination Rate Variation Shape Nucleotide Polymorphism...,"Wang J, Street NR, ..., Ingvarsson PK",GENETICS,
629,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.18632/oncotarget.6557,27312411,5.008,Technology development,max.kaller@scilifelab.se,1949-2553,Genome-wide identification of Wig-1 mRNA targets by RIP-Seq analysis,,ONCOTARGET,26672765
630,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.18632/oncotarget.7899,26956550,5.008,Service,max.kaller@scilifelab.se,1949-2553,Mutations in histone modulators are associated with prolonged survival during az...,,ONCOTARGET,
631,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.2337/db16-0522,26672765,8.784,Service,max.kaller@scilifelab.se,0012-1797 1939-327X,Whole-Exome Sequencing Suggests LAMB3 as a Susceptibility Gene for Morbid Obesity,"Jiao H, Kulyté A, ..., Dahlman I",DIABETES,27431458
632,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.3389/fmicb.2016.00517,27862604,4.165,Collaborative,max.kaller@scilifelab.se,1664-302X,Spatio-Temporal Interdependence of Bacteria and Phytoplankton during a Baltic Se...,"Bunse C, Bertos-Fortis M, ..., Legrand C",FRONT MICROBIOL,27148206
633,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.3389/fmicb.2016.00625,27815194,4.165,Service,max.kaller@scilifelab.se,1664-302X,Unscrambling Cyanobacteria Community Dynamics Related to Environmental Factors,"Bertos-Fortis M, Farnelid HM, ..., Legrand C",FRONT MICROBIOL,27242679
634,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.3389/fmicb.2016.00679,26916072,4.165,Service,max.kaller@scilifelab.se,1664-302X,Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Ba...,"Hu YOO, Karlson B, ..., Andersson AF",FRONT MICROBIOL,
635,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.3389/fmicb.2016.01043,26959885,4.165,Service,max.kaller@scilifelab.se,1664-302X,Diversity and Expression of Bacterial Metacaspases in an Aquatic Ecosystem,"Asplund-Samuelsson J, Sundh J, ..., Ekman M",FRONT MICROBIOL,27458440
636,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.3389/fmicb.2016.01670,,4.165,Service,max.kaller@scilifelab.se,1664-302X,Prokaryotic Responses to Ammonium and Organic Carbon Reveal Alternative CO2 Fixa...,"Baltar F, Lundin D, ..., Pinhassi J",FRONT MICROBIOL,27818655
637,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.3892/ijo.2016.3349,27022003,3.018,Service,max.kaller@scilifelab.se,1019-6439 1791-2423,Estimation of copy number aberrations: Comparison of exome sequencing data with ...,"Fransson S, ï¿½stensson M, ..., Martinsson T",INT J ONCOL,26794043
638,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.7717/peerj.1593,27716510,2.183,Service,max.kaller@scilifelab.se,2167-8359,Reconstructing ecosystem functions of the active microbial community of the Balt...,"Thureborn P, Franzetti A, ..., Sjöling S",PEERJ,26823996
639,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1002/ajmg.a.37387,,2.082,Service,ellen.sherwood@scilifelab.se,1552-4825,Pathogenenic variant in theCOL2A1gene is associated with Spondyloepiphyseal dysp...,"Hammarsjö A, Nordgren A, ..., Grigelioniene G",AM J MED GENET A,
640,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1002/gcc.22363,,3.96,Service,ellen.sherwood@scilifelab.se,1045-2257,The role of germline alterations in the DNA damage response genesBRIP1andBRCA2in...,"Tuominen R, Engström PG, ..., Höiom V",GENE CHROMOSOME CANC,27074266
641,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1002/humu.23146,,5.089,Collaborative,ellen.sherwood@scilifelab.se,1059-7794,Whole-Genome Sequencing of Cytogenetically Balanced Chromosome Translocations Id...,"Nilsson D, Pettersson M, ..., Lindstrand A",HUM MUTAT,27862604
642,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1002/jbmr.2834,,5.622,Service,ellen.sherwood@scilifelab.se,0884-0431,Spondyloocular Syndrome: Novel Mutations inXYLT2Gene and Expansion of the Phenot...,"Taylan F, Costantini A, ..., Mäkitie O",J BONE MINER RES,26987875
643,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1007/s00204-016-1879-4,,6.637,Collaborative,ellen.sherwood@scilifelab.se,0340-5761 1432-0738,Transcriptomics and methylomics of CD4-positive T cells in arsenic-exposed women,"Engström K, Wojdacz TK, ..., Broberg K",ARCH TOXICOL,27838757
644,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1007/s00439-016-1743-x,,5.138,Service,ellen.sherwood@scilifelab.se,0340-6717 1432-1203,Identification of new TRIP12 variants and detailed clinical evaluation of indivi...,"Bramswig NC, Lüdecke H, ..., Wieczorek D",HUM GENET,27848077
645,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1007/s00592-015-0811-3,,3.074,Service,ellen.sherwood@scilifelab.se,0940-5429 1432-5233,GPR44 is a pancreatic protein restricted to the human beta cell,"Hellström-Lindahl E, Danielsson A, ..., Eriksson O",ACTA DIABETOL,26467464
646,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1007/s00792-016-0882-2,,2.346,Service,ellen.sherwood@scilifelab.se,1431-0651 1433-4909,Acidithiobacillus ferrivorans SS3 presents little RNA transcript response relat...,"Christel S, Fridlund J, ..., Dopson M",EXTREMOPHILES,
647,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.cell.2016.09.027,,28.71,Service,ellen.sherwood@scilifelab.se,0092-8674,"Molecular Diversity of Midbrain Development in Mouse, Human, and Stem Cells","La Manno G, Gyllborg D, ..., Linnarsson S",CELL,27716510
648,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.celrep.2016.07.070,,7.87,Service,ellen.sherwood@scilifelab.se,2211-1247,"The Adipose Transcriptional Response to Insulin Is Determined by Obesity, Not In...","Rydén M, Hrydziuszko O, ..., Arner P",CELL REP,27545890
649,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.ejpn.2016.01.009,,1.923,Service,ellen.sherwood@scilifelab.se,1090-3798,Biotin and Thiamine Responsive Basal Ganglia Disease – A vital differential diag...,"Ygberg S, Naess K, ..., Wickström R",EUR J PAEDIATR NEURO,26975589
650,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.jaci.2016.06.040,,12.485,Service,ellen.sherwood@scilifelab.se,0091-6749,Antibody-encoding repertoires of bone marrow and peripheral blood—a focus on IgE,"Levin M, Levander F, ..., Ohlin M",J ALLERGY CLIN IMMUN,27521279
651,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.resmic.2016.04.010,,2.154,Service,ellen.sherwood@scilifelab.se,0923-2508,Electricity generation from an inorganic sulfur compound containing mining waste...,"Ni G, Christel S, ..., Dopson M",RES MICROBIOL,27155452
652,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.scitotenv.2016.02.103,,3.976,Service,ellen.sherwood@scilifelab.se,0048-9697,Minimal selective concentrations of tetracycline in complex aquatic bacterial bi...,"Lundström SV, Östman M, ..., Larsson DJ",SCI TOTAL ENVIRON,26938321
653,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.scitotenv.2016.06.228,,3.976,Service,ellen.sherwood@scilifelab.se,0048-9697,Elucidating selection processes for antibiotic resistance in sewage treatment pl...,"Bengtsson-Palme J, Hammarén R, ..., Larsson DJ",SCI TOTAL ENVIRON,27542633
654,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.ymben.2016.10.010,,?,Service,ellen.sherwood@scilifelab.se,,,,,27805003
655,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1017/pao.2016.14,,Kan inte hitta,Service,ellen.sherwood@scilifelab.se,2055-7094,Overexpression of Trypanosoma rangeli trypanothione reductase increases parasite...,"BELTRAME-BOTELHO I, STOCO P, ..., GRISARD E",,
656,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1038/bjc.2016.261,,5.569,Service,ellen.sherwood@scilifelab.se,0007-0920 1532-1827,Virome characterisation from Guthrie cards in children who later developed acute...,"Bogdanovic G, Pou C, ..., Gustafsson B",BRIT J CANCER,27552439
657,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1038/ismej.2015.185,,9.328,Service,ellen.sherwood@scilifelab.se,1751-7362 1751-7370,Microbial metagenomes from three aquifers in the Fennoscandian shield terrestria...,"Wu X, Holmfeldt K, ..., Dopson M",ISME J,26484735
658,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1038/modpathol.2016.34,,5.485,Service,ellen.sherwood@scilifelab.se,0893-3952 1530-0285,Digital image analysis outperforms manual biomarker assessment in breast cancer,"Stålhammar G, Fuentes Martinez N, ..., Hartman J",MODERN PATHOL,26916072
