National/ Regional,Platform,Facility,Authors,Title of publication,Journal,Volume,Issue,Pages y-x,Year of publication,"Co-publication, academy - industry, (yes/no)",Journal Impact factor ,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Global Lipids Genetics Consortium , Willer CJ, Schmidt EM, et al",Discovery and refinement of loci associated with lipid levels.,Nat Genet,45,11,1274-1283,2013,,29.648,24097068
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Axelsson E, Ratnakumar A, Arendt ML, et al",The genomic signature of dog domestication reveals adaptation to a starch-rich d...,Nature,495,7441,360-364,2013,,42.351,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Nystedt B, Street NR, Wetterbom A, et al",The Norway spruce genome sequence and conifer genome evolution.,Nature,497,7451,579-584,2013,,42.351,23698360
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Reynolds CA, Zavala C, Gatz M, et al",Sortilin receptor 1 predicts longitudinal cognitive change.,Neurobiol Aging,34,6,1710.e11-1710.e18,2013,,4.853,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Cederblad L, Thunberg U, Engström M, et al","The combined effects of single-nucleotide polymorphisms, tobacco products, and e...",Nicotine Tob Res,15,5,890-895,2013,,2.805,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Halvardson J, Zaghlool A, Feuk L",Exome RNA sequencing reveals rare and novel alternative transcripts.,Nucleic Acids Res,41,1,e6,2013,,8.808,22941640
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Kamel W, Segerman B, Öberg D, et al",The adenovirus VA RNA-derived miRNAs are not essential for lytic virus growth in...,Nucleic Acids Res,41,9,4802-4812,2013,,8.808,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Johansson Å, Enroth S, Palmblad M, et al",Identification of genetic variants influencing the human plasma proteome.,P Natl Acad Sci USA,110,12,4673-4678,2013,,9.809,23487758
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Oosterveen T, Kurdija S, Ensterö M, et al",SoxB1-driven transcriptional network underlies neural-specific interpretation of...,P Natl Acad Sci USA,110,18,7330-7335,2013,,9.809,23589857
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Rietveld CA, Cesarini D, Benjamin DJ, et al",Molecular genetics and subjective well-being.,P Natl Acad Sci USA,110,24,9692-9697,2013,,9.809,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Wang X, Jiang L, Wallerman O, et al","Transcription factor ZBED6 affects gene expression, proliferation, and cell deat...",P Natl Acad Sci USA,110,40,15997-16002,2013,,9.809,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Uddenberg D, Reimegård J, Clapham D, et al",Early cone setting in Picea abies acrocona is associated with increased transcri...,Plant Physiol,161,2,813-823,2013,,7.394,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Ahmad S, Rukh G, Varga TV, et al","Gene × physical activity interactions in obesity: combined analysis of 111,421 i...",PLoS Genet,9,7,e1003607,2013,,8.167,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Ellegaard KM, Klasson L, Näslund K, et al",Comparative genomics of Wolbachia and the bacterial species concept.,PLoS Genet,9,4,e1003381,2013,,8.167,23593012
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Guy L, Nystedt B, Toft C, et al",A gene transfer agent and a dynamic repertoire of secretion systems hold the key...,PLoS Genet,9,3,e1003393,2013,,8.167,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Randall JC, Winkler TW, Kutalik Z, et al","Sex-stratified genome-wide association studies including 270,000 individuals sho...",PLoS Genet,9,6,e1003500,2013,,8.167,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Tengvall K, Kierczak M, Bergvall K, et al",Genome-wide analysis in German shepherd dogs reveals association of a locus on C...,PLoS Genet,9,5,e1003475,2013,,8.167,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Watthanasurorot A, Saelee N, Phongdara A, et al",Astakine 2--the dark knight linking melatonin to circadian regulation in crustac...,PLoS Genet,9,3,e1003361,2013,,8.167,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Fall T, Hägg S, Mägi R, et al",The role of adiposity in cardiometabolic traits: a Mendelian randomization analy...,PLoS Med,10,6,e1001474,2013,,14,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Vimaleswaran KS, Berry DJ, Lu C, et al",Causal relationship between obesity and vitamin D status: bi-directional Mendeli...,PLoS Med,10,2,e1001383,2013,,14,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Bzhalava D, Johansson H, Ekström J, et al",Unbiased approach for virus detection in skin lesions.,PLoS One,8,6,e65953,2013,,3.534,23840382
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Costea PI, Lundeberg J, Akan P",TagGD: fast and accurate software for DNA Tag generation and demultiplexing.,PLoS One,8,3,e57521,2013,,3.534,23469199
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Demina IV, Persson T, Santos P, et al",Comparison of the nodule vs. root transcriptome of the actinorhizal plant Datisc...,PLoS One,8,8,e72442,2013,,3.534,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Eiler A, Drakare S, Bertilsson S, et al",Unveiling distribution patterns of freshwater phytoplankton by a next generation...,PLoS One,8,1,e53516,2013,,3.534,23349714
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Ganna A, Ortega-Alonso A, Havulinna A, et al",Utilizing twins as controls for non-twin case-materials in genome wide associati...,PLoS One,8,12,e83101,2013,,3.534,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Guy L, Jernberg C, Arvén Norling J, et al",Adaptive mutations and replacements of virulence traits in the Escherichia coli ...,PLoS One,8,5,e63027,2013,,3.534,23675451
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hanson E, Nilsson S, Jood K, et al",Genetic variants of coagulation factor XI show association with ischemic stroke ...,PLoS One,8,9,e75286,2013,,3.534,24086496
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Johansson A, Enroth S, Gyllensten U",Continuous Aging of the Human DNA Methylome Throughout the Human Lifespan.,PLoS One,8,6,e67378,2013,,3.534,23826282
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Norman AJ, Street NR, Spong G",De novo SNP discovery in the Scandinavian brown bear (Ursus arctos).,PLoS One,8,11,e81012,2013,,3.534,24260529
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Saelee N, Noonin C, Nupan B, et al",β-thymosins and hemocyte homeostasis in a crustacean.,PLoS One,8,4,e60974,2013,,3.534,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Song C, Pedersen NL, Reynolds CA, et al",Genetic variants from lipid-related pathways and risk for incident myocardial in...,PLoS One,8,3,e60454,2013,,3.534,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Svartström O, Mushtaq M, Pringle M, et al","Genome-wide relatedness of Treponema pedis, from gingiva and necrotic skin lesio...",PLoS One,8,8,e71281,2013,,3.534,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Thureborn P, Lundin D, Plathan J, et al",A metagenomics transect into the deepest point of the Baltic Sea reveals clear s...,PLoS One,8,9,e74983,2013,,3.534,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"van der Loos MJ, Rietveld CA, Eklund N, et al",The molecular genetic architecture of self-employment.,PLoS One,8,4,e60542,2013,,3.534,23593239
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Yeo SK, Huggett MJ, Eiler A, et al",Coastal bacterioplankton community dynamics in response to a natural disturbance...,PLoS One,8,2,e56207,2013,,3.534,23409156
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Lundin S, Gruselius J, Nystedt B, et al",Hierarchical molecular tagging to resolve long continuous sequences by massively...,Sci Rep-UK,3,,1186,2013,,5.078,23470464
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Rietveld CA, Medland SE, Derringer J, et al","GWAS of 126,559 individuals identifies genetic variants associated with educatio...",Science,340,6139,1467-1471,2013,,31.477,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Magnusson PK, Almqvist C, Rahman I, et al",The Swedish Twin Registry: establishment of a biobank and other recent developme...,Twin Res Hum Genet,16,1,317-329,2013,,1.918,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Tydén E, Tjälve H, Larsson P",Gene and protein expression and cellular localisation of cytochrome P450 enzymes...,Acta Vet Scand,56,,69,2014,,1.382,25288196
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Akerblom A, Eriksson N, Wallentin L, et al",Polymorphism of the cystatin C gene in patients with acute coronary syndromes: R...,Am Heart J,168,,96-102.e2,2014,,4.555,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Acuna-Hidalgo R, Schanze D, Kariminejad A, et al",Neu-Laxova syndrome is a heterogeneous metabolic disorder caused by defects in e...,Am J Hum Genet,95,,285-293,2014,,10.987,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Arzoo PS, Klar J, Bergendal B, et al",WNT10A mutations account for ¼ of population-based isolated oligodontia and show...,Am J Med Genet A,164A,,353-359,2014,,2.048,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Grigelioniene G, Geiberger S, Horemuzova E, et al",Autosomal dominant brachyolmia in a large Swedish family: phenotypic spectrum an...,Am J Med Genet A,164,,1635-1641,2014,,2.048,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Liedén A, Kvarnung M, Nilssson D, et al",Intragenic duplication-A novel causative mechanism for SATB2-associated syndrome...,Am J Med Genet A,164,,3083-3087,2014,,2.048,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Arbajian E, Puls F, Magnusson L, et al",Recurrent EWSR1-CREB3L1 gene fusions in sclerosing epithelioid fibrosarcoma.,Am J Surg Pathol,38,,801-808,2014,,4.592,24441665
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Kinch A, Cavelier L, Bengtsson M, et al",Donor or recipient origin of posttransplant lymphoproliferative disorders follow...,Am J Transplant,14,,2838-2845,2014,,6.19,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Song Y, Gyarmati P, Araújo AC, et al",Visual detection of DNA on paper chips.,Anal Chem,86,,1575-1582,2014,,5.825,24383957
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hugerth LW, Wefer HA, Lundin S, et al","DegePrime, a program for degenerate primer design for broad-taxonomic-range PCR ...",Appl Environ Microb,80,,5116-5123,2014,,3.952,24928874
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Hauling T, Krautz R, Markus R, et al",A Drosophila immune response against Ras-induced overgrowth.,Biol Open,3,,250-260,2014,,N/A,24659248
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Buś MM, Allen M",Collecting and preserving biological samples from challenging environments for D...,Biopreserv Biobank,12,,17-22,2014,,1.578,24620766
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Jarmander J, Hallström BM, Larsson G",Simultaneous uptake of lignocellulose-based monosaccharides by Escherichia coli.,Biotechnol Bioeng,111,,1108-1115,2014,,4.164,24382675
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Kunze G, Gaillardin C, Czernicka M, et al",The complete genome of Blastobotrys (Arxula) adeninivorans LS3 - a yeast of biot...,Biotechnol Biofuels,7,,66,2014,,6.221,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Frigyesi I, Adolfsson J, Ali M, et al",Robust isolation of malignant plasma cells in multiple myeloma.,Blood,123,,1336-1340,2014,,9.775,24385542
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Rönnerblad M, Andersson R, Olofsson T, et al",Analysis of the DNA methylome and transcriptome in granulopoiesis reveals timed ...,Blood,123,,e79-e89,2014,,9.775,24671952
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Sahlin K, Vezzi F, Nystedt B, et al",BESST--efficient scaffolding of large fragmented assemblies.,BMC Bioinformatics,15,,281,2014,,2.672,25128196
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Alexeyenko A, Nystedt B, Vezzi F, et al",Efficient de novo assembly of large and complex genomes by massively parallel se...,BMC Genomics,15,,439,2014,,4.041,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Kutsenko A, Svensson T, Nystedt B, et al",The Chironomus tentans genome sequence and the organization of the Balbiani ring...,BMC Genomics,15,,819,2014,,4.041,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Panova M, Johansson T, Canbäck B, et al",Species and gene divergence in Littorina snails detected by array comparative ge...,BMC Genomics,15,,687,2014,,4.041,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Sigurgeirsson B, Emanuelsson O, Lundeberg J",Analysis of stranded information using an automated procedure for strand specifi...,BMC Genomics,15,,631,2014,,4.041,
National,"National Genomics Infrastructure

",NGI Stockholm (Genomics Production),"Schuster J, Khan TN, Tariq M, et al",Exome sequencing circumvents missing clinical data and identifies a BSCL2 mutati...,BMC Med Genet,15,,71,2014,,2.45,
